40.91.72.120,presence-heartbeat.xboxlive.com
148.153.64.18,api.bilibili.com
164.52.33.179,data.bilibili.com
34.199.31.71,rtm.tnt-ea.com
13.107.42.12,d.docs.live.net
13.107.136.9,nyu0-my.sharepoint.com
148.153.64.18,api.vc.bilibili.com
52.179.129.229,arc.msn.com
52.203.212.125,rtm.tnt-ea.com
17.248.135.136,p69-calendars.icloud.com
20.36.219.28,activity.windows.com
20.36.219.28,activity.windows.com
23.40.30.29,us-prof.np.community.playstation.net
13.226.39.80,js.prd.fusionapi.autodesk.com
185.26.182.111,merchandise.opera-api.com
52.10.101.255,ekg.riotgames.com
54.149.219.187,R5-ps4-sub.stryder.respawn.com
52.33.176.204,r5-ps4-sub3.stryder.respawn.com
35.186.224.47,dealer.spotify.com
23.40.30.29,us-ivt.np.community.playstation.net
45.57.91.1,assets.nflxext.com
45.57.90.1,codex.nflxext.com
34.248.59.175,www.netflix.com
23.40.30.29,us-ivt.np.community.playstation.net
17.248.135.239,gateway-carry.icloud.com
52.26.147.169,R5-ps4.stryder.respawn.com
52.33.176.204,r5-ps4-sub3.stryder.respawn.com
23.40.30.29,us-ivt.np.community.playstation.net
54.149.219.187,R5-ps4-sub.stryder.respawn.com
172.217.11.10,fcm.googleapis.com
13.107.42.12,d.docs.live.net
173.222.102.63,c.go-mpulse.net
13.65.85.146,tm-sdk.platinumai.net
13.107.136.9,nyu0-my.sharepoint.com
35.160.15.72,ekg.riotgames.com
162.125.4.3,client.dropbox.com
23.78.182.45,www.autodesk.com
173.194.68.189,25.client-channel.google.com
52.179.129.229,arc.msn.com
13.107.3.128,config.edge.skype.com
13.107.3.128,config.edge.skype.com
13.107.3.128,config.edge.skype.com
13.107.3.128,config.edge.skype.com
13.107.3.128,config.edge.skype.com
52.109.4.5,mrodevicemgr.officeapps.live.com
52.71.134.173,developer.api.autodesk.com
52.242.211.89,client.wns.windows.com
13.225.212.29,f360sc-p-ue1.api.cosv2-p-ue1-dn.autodesk.com
