216.98.62.23,msr-public-ubiservices.ubi.com
23.55.235.81,upos-hz-mirrorakam.akamaized.net
123.162.190.116,sdk1xyajs-data.xycdn.com
104.16.120.50,auth.riotgames.com
104.16.199.132,entitlements.auth.riotgames.com
104.18.25.250,pas.geo.si.riotgames.com
52.179.129.229,arc.msn.com
17.248.187.76,gateway.icloud.com
123.162.190.116,sdk1xyajs-data.xycdn.com
35.186.224.47,dealer.spotify.com
128.238.155.11,128.238.155.11
35.160.15.72,ekg.riotgames.com
123.162.190.116,sdk1xyajs-data.xycdn.com
