34.68.125.225,rpc.znly.co
52.159.17.76,tsfe.trafficshaping.dsp.mp.microsoft.com
52.179.129.229,arc.msn.com
148.153.38.118,api.vc.bilibili.com
35.190.88.7,sessions.bugsnag.com
151.101.0.116,auto-api.yelp.com
17.248.135.89,p42-ckdatabase.icloud.com
13.107.6.171,word-view.officeapps.live.com
52.108.16.26,us4-word-collab.officeapps.live.com
52.109.2.16,officeclient.microsoft.com
17.248.135.109,p14-keyvalueservice.icloud.com
13.107.3.128,config.edge.skype.com
23.47.146.53,bag.itunes.apple.com
23.192.125.112,client-api.itunes.apple.com
52.177.165.30,client.wns.windows.com
52.108.16.21,us6-rtc.officeapps.live.com
13.107.136.9,nyu0-my.sharepoint.com
13.107.136.9,nyu0-my.sharepoint.com
20.36.219.28,activity.windows.com
17.57.144.9,courier.push.apple.com
52.108.16.26,us4-word-collab.officeapps.live.com
52.114.88.29,v10.events.data.microsoft.com
17.167.194.224,gsp64-ssl.ls.apple.com
17.57.12.11,gsp64-ssl.ls.apple.com
104.18.58.155,njtzzrvg0lwj3bsn.info
68.67.160.114,ib.adnxs.com
31.13.65.1,www.messenger.com
204.79.197.200,www.bing.com
52.179.129.229,arc.msn.com
52.96.88.114,outlook.office365.com
20.36.218.63,settings.data.microsoft.com
52.96.88.114,outlook.office365.com
40.122.160.14,v10.events.data.microsoft.com
13.107.18.11,outlook.office.com
23.194.122.92,livetileedge.dsx.mp.microsoft.com
104.18.108.14,ebookcentral.proquest.com
52.108.16.26,us4-word-collab.officeapps.live.com
13.107.136.9,nyu0-my.sharepoint.com
40.122.160.14,v10.events.data.microsoft.com
52.179.224.121,client.wns.windows.com
172.253.63.188,mtalk.google.com
52.159.17.76,tsfe.trafficshaping.dsp.mp.microsoft.com
52.159.17.76,tsfe.trafficshaping.dsp.mp.microsoft.com
8.36.80.236,events.gfe.nvidia.com
8.36.80.237,gfe.nvidia.com
172.217.3.99,ssl.gstatic.com
20.36.218.63,settings-win.data.microsoft.com
20.36.218.63,settings-win.data.microsoft.com
8.36.80.236,events.gfe.nvidia.com
111.221.29.40,fe3cr.delivery.mp.microsoft.com
13.225.63.137,d3cv4a9a9wh0bt.cloudfront.net
8.36.80.236,events.gfe.nvidia.com
52.114.88.29,v10.events.data.microsoft.com
172.253.63.188,mtalk.google.com
104.69.60.103,geover.prod.do.dsp.mp.microsoft.com
40.79.65.123,geo.prod.do.dsp.mp.microsoft.com
104.69.60.103,kv501.prod.do.dsp.mp.microsoft.com
104.69.60.103,cp501.prod.do.dsp.mp.microsoft.com
104.69.60.103,disc501.prod.do.dsp.mp.microsoft.com
40.79.65.235,array502.prod.do.dsp.mp.microsoft.com
104.69.60.103,cp501.prod.do.dsp.mp.microsoft.com
13.225.212.29,f360sc-p-ue1.api.cosv2-p-ue1-dn.autodesk.com
40.67.188.15,presence-heartbeat.xboxlive.com
17.134.127.250,gs-loc.apple.com
13.107.136.9,nyu0-my.sharepoint.com
20.36.219.28,activity.windows.com
17.134.127.249,gs-loc.apple.com
52.109.6.6,roaming.officeapps.live.com
20.36.218.63,settings-win.data.microsoft.com
52.179.129.229,arc.msn.com
13.107.5.88,evoke-windowsservices-tas.msedge.net
52.114.76.34,v10.events.data.microsoft.com
13.225.212.47,na.op.gg
23.40.28.235,wcs.naver.net
173.222.102.63,c.go-mpulse.net
172.217.6.193,apidata.googleusercontent.com
52.114.88.29,v10.events.data.microsoft.com
35.170.142.8,rtm.tnt-ea.com
34.228.110.91,acp-ss-ue1.adobe.io
52.109.6.6,roaming.officeapps.live.com
172.253.122.188,mtalk.google.com
13.107.136.9,nyu0-my.sharepoint.com
23.194.120.195,api1.origin.com
52.177.165.30,client.wns.windows.com
52.109.6.6,roaming.officeapps.live.com
13.226.39.32,js.prd.fusionapi.autodesk.com
