172.217.7.3,update.googleapis.com
17.142.169.200,gsp64-ssl.ls.apple.com
40.119.2.214,settings-win.data.microsoft.com
40.79.65.78,array508.prod.do.dsp.mp.microsoft.com
40.79.66.209,array506.prod.do.dsp.mp.microsoft.com
40.79.65.78,array508.prod.do.dsp.mp.microsoft.com
17.248.187.138,gateway-carry.icloud.com
40.79.65.235,array502.prod.do.dsp.mp.microsoft.com
104.102.87.51,ecn.dev.virtualearth.net
104.102.87.51,ecn.dev.virtualearth.net
104.102.87.51,ecn.dev.virtualearth.net
20.36.218.63,settings-win.data.microsoft.com
52.114.158.92,v10.events.data.microsoft.com
52.109.20.3,officeclient.microsoft.com
52.109.20.3,officeclient.microsoft.com
13.107.3.128,config.edge.skype.com
13.107.3.128,config.edge.skype.com
13.107.3.128,config.edge.skype.com
13.107.3.128,config.edge.skype.com
52.109.4.5,mrodevicemgr.officeapps.live.com
13.107.3.128,config.edge.skype.com
13.107.136.9,nyu0-my.sharepoint.com
148.153.38.118,message.bilibili.com
172.217.10.234,play.googleapis.com
104.18.58.155,njtzzrvg0lwj3bsn.info
104.16.1.92,na.ledge.leagueoflegends.com
