52.114.88.29,browser.pipe.aria.microsoft.com
172.217.12.131,beacons.gcp.gvt2.com
162.159.130.232,media.discordapp.net
31.13.65.52,scontent-atl3-1.cdninstagram.com
31.13.65.52,scontent-atl3-1.cdninstagram.com
13.225.218.115,d3cv4a9a9wh0bt.cloudfront.net
184.26.36.119,sb.scorecardresearch.com
54.148.24.250,api.segment.io
104.16.119.50,auth.riotgames.com
13.78.187.58,array802.prod.do.dsp.mp.microsoft.com
104.16.199.132,entitlements.auth.riotgames.com
104.18.25.250,pas.geo.si.riotgames.com
104.16.199.132,entitlements.auth.riotgames.com
31.13.65.1,www.messenger.com
173.194.61.8,r2---sn-ab5szn7r.googlevideo.com
172.217.9.229,mail.google.com
31.13.65.7,static.xx.fbcdn.net
20.44.82.15,collections.md.mp.microsoft.com
20.36.218.63,settings-win.data.microsoft.com
31.13.65.7,static.xx.fbcdn.net
31.13.65.3,edge-mqtt.facebook.com
52.114.158.92,v10.events.data.microsoft.com
31.13.65.36,b-api.facebook.com
31.13.65.1,api.facebook.com
31.13.65.1,graph.facebook.com
31.13.65.36,b-graph.facebook.com
52.114.128.9,mobile.pipe.aria.microsoft.com
54.186.10.67,ekg.riotgames.com
204.79.197.200,platform.bing.com
185.26.182.112,merchandise.opera-api.com
31.13.65.3,edge-mqtt.facebook.com
192.81.242.130,34acf0414d836d3f8d491c6186153694.my.2k.com
31.13.65.7,scontent.xx.fbcdn.net
172.217.6.195,connectivitycheck.gstatic.com
31.13.65.52,scontent-atl3-1.cdninstagram.com
31.13.65.52,scontent-atl3-1.cdninstagram.com
31.13.65.52,scontent-atl3-1.cdninstagram.com
31.13.65.52,scontent-atl3-1.cdninstagram.com
54.186.10.67,ekg.riotgames.com
35.186.224.53,spclient.wg.spotify.com
20.36.218.63,settings-win.data.microsoft.com
31.13.65.51,graph.oculus.com
52.179.129.229,arc.msn.com
35.186.224.47,dealer.spotify.com
13.225.230.38,beta-api.crunchyroll.com
52.177.83.224,tsfe.trafficshaping.dsp.mp.microsoft.com
148.153.38.118,api.vc.bilibili.com
104.17.188.107,zwyr157wwiu6eior.com
20.36.218.63,settings-win.data.microsoft.com
13.225.230.111,na.op.gg
165.254.0.105,opgg-cdn.akamaized.net
13.225.227.2,c.amazon-adsystem.com
18.214.163.191,api.robinhood.com
52.7.236.174,nummus.robinhood.com
17.134.127.249,gs-loc.apple.com
17.134.127.249,gs-loc.apple.com
40.90.22.184,login.live.com
23.221.201.164,quote.cnbc.com
172.253.122.188,mtalk.google.com
130.211.16.53,d.joinhoney.com
104.20.19.239,www.crunchyroll.com
3.217.207.251,public-ubiservices.ubi.com
104.22.2.109,builds.parsecgaming.com
104.22.2.109,builds.parsecgaming.com
192.81.242.130,34acf0414d836d3f8d491c6186153694.my.2k.com
104.31.74.156,twitchemotes.com
