52.52.238.239,analytics.developer.riotgames.com
13.107.3.128,config.edge.skype.com
13.107.3.128,config.edge.skype.com
13.107.3.128,config.edge.skype.com
13.107.3.128,config.edge.skype.com
13.107.3.128,config.edge.skype.com
13.107.3.128,config.edge.skype.com
52.109.4.5,mrodevicemgr.officeapps.live.com
192.108.239.254,usher.ttvnw.net
13.225.62.119,supervisor.ext-twitch.tv
104.25.57.99,api.betterttv.net
104.25.57.99,api.betterttv.net
104.25.57.99,api.betterttv.net
104.25.57.99,api.betterttv.net
104.25.57.99,api.betterttv.net
13.225.212.106,np7dksjwmdp34s29k4ggbs1qu7ybwh.ext-twitch.tv
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
158.69.253.60,sockets.betterttv.net
104.25.58.99,cdn.betterttv.net
104.25.58.99,cdn.betterttv.net
104.25.58.99,cdn.betterttv.net
13.107.136.9,nyu0-my.sharepoint.com
34.194.140.148,pr-5c2f1a37a251ff2a6a8c6eab.data.ea.com
52.223.246.240,video-edge-c1de20.atl01.abs.hls.ttvnw.net
13.107.136.9,nyu0-my.sharepoint.com
104.31.71.211,cdn.frankerfacez.com
13.226.39.16,extensions-discovery-images.twitch.tv
13.225.62.80,extension-files.twitch.tv
158.69.253.60,sockets.betterttv.net
104.18.56.100,api.ffzap.com
151.101.202.167,gql.twitch.tv
151.101.2.167,static.twitchcdn.net
151.101.2.167,static.twitchcdn.net
151.101.2.167,static.twitchcdn.net
45.57.91.1,assets.nflxext.com
45.57.91.1,codex.nflxext.com
172.217.10.106,remotedesktop-pa.googleapis.com
172.217.10.106,remotedesktop-pa.googleapis.com
151.101.2.167,static.twitchcdn.net
23.38.167.33,steamcdn-a.akamaihd.net
23.38.167.33,steamcdn-a.akamaihd.net
23.38.167.33,steamcdn-a.akamaihd.net
23.43.56.194,steamstore-a.akamaihd.net
23.43.56.194,steamstore-a.akamaihd.net
151.101.2.167,static.twitchcdn.net
51.161.32.51,ayaya.frankerfacez.com
13.225.63.117,d3cv4a9a9wh0bt.cloudfront.net
204.79.197.200,platform.bing.com
13.226.39.55,panels-images.twitch.tv
13.226.39.55,panels-images.twitch.tv
13.226.39.55,panels-images.twitch.tv
13.226.39.55,panels-images.twitch.tv
13.226.39.55,panels-images.twitch.tv
13.226.39.55,panels-images.twitch.tv
13.226.39.25,qcxdzgqw0sd1u50wqtwodjfd5dmkxz.ext-twitch.tv
13.225.62.36,asppxuf1di6v7hwfucmogjg9eh32au.ext-twitch.tv
13.225.212.89,a0nm5zyyzi0tgb805iaflj1yd2c5x5.ext-twitch.tv
13.107.42.12,d.docs.live.net
54.148.79.41,video-edge-41682c.pdx01.abs.hls.ttvnw.net
23.60.139.231,steam-chat.com
23.60.139.231,steam-chat.com
54.212.192.101,R5-ps4-sub.stryder.respawn.com
148.153.38.118,api.vc.bilibili.com
172.217.9.229,mail.google.com
68.67.179.173,ib.adnxs.com
68.67.179.173,ib.adnxs.com
23.194.121.67,as-sec.casalemedia.com
8.43.72.32,fastlane.rubiconproject.com
128.238.155.11,128.238.155.11
209.204.233.34,a3462.casalemedia.com
23.194.122.10,z.moatads.com
173.231.178.85,cm.adgrx.com
198.148.27.140,bh.contextweb.com
172.217.11.42,ajax.googleapis.com
52.179.129.229,arc.msn.com
128.238.155.11,128.238.155.11
35.227.237.213,www.feelinsonice.com
68.67.179.123,ib.adnxs.com
23.221.202.56,c.go-mpulse.net
192.184.68.147,exch.quantserve.com
192.184.68.146,pixel.quantcount.com
192.184.68.139,pixel.quantserve.com
68.67.160.23,nym1-ib.adnxs.com
13.225.212.60,f360sc-p-ue1.api.cosv2-p-ue1-dn.autodesk.com
35.186.197.135,app-analytics.snapchat.com
13.225.62.17,cf-st.sc-cdn.net
13.225.62.17,cf-st.sc-cdn.net
172.217.10.234,gem-pa.googleapis.com
52.114.132.23,self.events.data.microsoft.com
13.68.225.90,smartscreen-prod.microsoft.com
172.217.12.131,beacons3.gvt2.com
148.153.38.118,message.bilibili.com
13.107.136.9,nyu0-my.sharepoint.com
13.107.136.9,nyu0-my.sharepoint.com
20.36.218.63,settings-win.data.microsoft.com
20.36.218.63,settings-win.data.microsoft.com
20.36.218.63,settings-win.data.microsoft.com
20.36.218.63,settings-win.data.microsoft.com
13.107.42.12,d.docs.live.net
13.225.212.12,js.prd.fusionapi.autodesk.com
13.107.6.171,word-view.officeapps.live.com
54.149.51.117,r5-ps4-sub3.stryder.respawn.com
23.194.120.195,api1.origin.com
68.67.178.15,ib.adnxs.com
52.216.111.35,cloudsync-prod.s3.amazonaws.com
185.167.164.49,c1.adform.net
18.210.174.73,magnetic.t.domdex.com
23.194.121.184,static.yieldmo.com
3.91.171.217,kinesis.us-east-1.amazonaws.com
23.194.121.184,static.yieldmo.com
23.10.114.138,matchadsrvr.yieldmo.com
18.211.228.4,ads.yieldmo.com
18.211.228.4,ads.yieldmo.com
52.3.130.42,match.adsrvr.org
216.46.185.183,global.ib-ibi.com
192.132.33.46,bttrack.com
3.216.212.104,beacon.krxd.net
70.42.32.63,b1sync.zemanta.com
54.175.115.68,dpm.demdex.net
52.1.18.121,sync.srv.stackadapt.com
13.225.212.54,api-cache.blizzcon.com
35.211.99.204,x.bidswitch.net
156.154.200.36,aa.agkn.com
52.168.140.71,px.powerlinks.com
54.200.122.195,usermatch.targeting.unrulymedia.com
54.175.115.68,dpm.demdex.net
54.160.247.154,rtb.adentifi.com
3.208.129.5,partner.mediawallahscript.com
208.185.50.90,pixel-us-east.rubiconproject.com
52.179.129.229,arc.msn.com
23.193.217.21,contextual.media.net
68.67.179.89,secure.adnxs.com
156.154.200.36,aa.agkn.com
52.45.228.37,tag.device9.com
216.46.185.184,ib.mookie1.com
52.205.105.204,mid.rkdms.com
18.213.13.245,sync.crwdcntrl.net
34.194.68.79,customer.mediawallahscript.com
40.90.22.187,login.live.com
13.107.3.128,edge.skype.com
52.114.142.67,api.asm.skype.com
