172.217.7.14,redirector.googlevideo.com
172.217.3.99,www.gstatic.com
172.217.12.214,i.ytimg.com
172.217.10.14,www.youtube.com
172.217.197.100,s.youtube.com
172.217.10.68,www.google.com
23.43.169.146,configuration.ls.apple.com
17.248.187.11,p62-fmfmobile.icloud.com
17.249.162.38,gsp-ssl.ls.apple.com
173.223.16.209,gspe35-ssl.ls.apple.com
96.6.28.122,gspe11-ssl.ls.apple.com
17.248.187.11,p62-fmfmobile.icloud.com
17.167.194.224,gsp64-ssl.ls.apple.com
96.6.28.122,configuration.ls.apple.com
17.57.12.11,gsp64-ssl.ls.apple.com
35.186.224.53,spclient.wg.spotify.com
35.186.224.47,dealer.spotify.com
172.217.11.46,app-measurement.com
172.217.3.110,app-measurement.com
148.153.64.18,api.vc.bilibili.com
17.167.194.224,gsp64-ssl.ls.apple.com
17.167.194.224,gsp64-ssl.ls.apple.com
13.225.226.153,slack.com
35.186.224.53,spclient.wg.spotify.com
172.217.12.138,www.googleapis.com
172.217.3.106,remotedesktop-pa.googleapis.com
172.217.3.106,remotedesktop-pa.googleapis.com
65.52.198.70,smartscreen-prod.microsoft.com
65.52.198.70,smartscreen-prod.microsoft.com
17.248.187.133,p32-contacts.icloud.com
17.167.192.225,gsp64-ssl.ls.apple.com
17.167.192.225,gsp64-ssl.ls.apple.com
52.179.129.229,arc.msn.com
23.47.223.91,javadl-esd-secure.oracle.com
72.21.91.70,abs.twimg.com
72.21.91.70,abs.twimg.com
99.84.126.6,snippets.cdn.mozilla.net
99.84.126.6,snippets.cdn.mozilla.net
96.17.65.84,img-getpocket.cdn.mozilla.net
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
17.248.187.11,p62-fmfmobile.icloud.com
72.21.91.70,abs.twimg.com
72.21.91.70,abs.twimg.com
72.21.91.70,abs.twimg.com
72.21.91.70,abs.twimg.com
72.21.91.70,abs.twimg.com
72.21.91.70,abs.twimg.com
172.217.3.100,www.google.com
13.225.220.58,l9bjkkhaycw6f8f4.soundcloud.com
104.16.31.91,na.ledge.leagueoflegends.com
17.56.10.22,cma.itunes.apple.com
35.186.224.53,spclient.wg.spotify.com
13.225.230.33,desktop.tidal.com
13.225.218.138,d3cv4a9a9wh0bt.cloudfront.net
13.225.218.138,d3cv4a9a9wh0bt.cloudfront.net
40.79.65.235,array502.prod.do.dsp.mp.microsoft.com
52.22.137.21,prd-collector-anon.playbuzz.com
17.248.187.11,p62-fmfmobile.icloud.com
151.139.128.10,cdn.appuals.com
96.17.231.231,cdn.iubenda.com
104.26.6.28,appuals.com
96.6.28.122,configuration.ls.apple.com
104.16.1.92,na.ledge.leagueoflegends.com
104.16.1.92,na.ledge.leagueoflegends.com
20.36.218.63,settings-win.data.microsoft.com
52.25.233.180,ekg.riotgames.com
35.186.224.53,spclient.wg.spotify.com
52.114.158.53,v10.events.data.microsoft.com
54.225.147.125,tracking.overwolf.com
104.16.33.99,playerpreferences.riotgames.com
52.25.233.180,ekg.riotgames.com
35.227.237.213,www.feelinsonice.com
18.214.238.129,aws.api.snapchat.com
52.22.144.146,loca.sc-jpl.com
13.225.230.125,cf-st.sc-cdn.net
31.13.65.7,static.xx.fbcdn.net
31.13.65.36,www.facebook.com
35.186.197.135,app-analytics.snapchat.com
13.225.230.125,cf-st.sc-cdn.net
13.225.230.125,cf-st.sc-cdn.net
13.225.230.125,cf-st.sc-cdn.net
13.225.230.125,cf-st.sc-cdn.net
13.225.230.125,cf-st.sc-cdn.net
104.244.42.194,api.twitter.com
17.167.194.230,gsp64-ssl.ls.apple.com
17.167.194.230,gsp64-ssl.ls.apple.com
104.17.165.5,pft.leagueoflegends.com
35.186.224.53,spclient.wg.spotify.com
17.248.135.207,gateway.icloud.com
17.248.135.11,edge-092.usnyc.icloud-content.com
17.248.142.70,gateway.icloud.com
17.248.135.11,edge-092.usnyc.icloud-content.com
52.25.233.180,ekg.riotgames.com
20.36.218.63,settings-win.data.microsoft.com
20.36.218.63,settings-win.data.microsoft.com
40.90.22.184,login.live.com
17.248.135.72,p38-content.icloud.com
17.248.135.119,p38-content.icloud.com
13.107.246.254,t-ring.msedge.net
13.107.18.254,k-ring.msedge.net
13.107.255.176,bgpdefault-nyc.msedge.net
204.79.197.222,fp.msedge.net
52.179.129.229,arc.msn.com
13.225.230.87,images.bitmoji.com
13.225.220.58,l9bjkkhaycw6f8f4.soundcloud.com
172.217.10.238,play.google.com
35.186.224.53,spclient.wg.spotify.com
104.31.81.149,sponsor.ajay.app
17.248.135.119,p51-content.icloud.com
17.248.135.174,p51-content.icloud.com
35.190.43.134,gcp.api.snapchat.com
151.101.2.167,static.twitchcdn.net
