104.17.142.21,loadouts.na2.leagueoflegends.com
52.34.208.16,ekg.riotgames.com
52.46.157.171,aax-us-east.amazon-adsystem.com
3.221.116.27,public-ubiservices.ubi.com
192.229.173.16,abs.twimg.com
192.229.173.16,abs.twimg.com
104.117.55.26,presence.gog.com
54.187.92.209,api.accounts.firefox.com
52.40.103.85,profile.accounts.firefox.com
52.38.131.12,sync-632-us-west-2.sync.services.mozilla.com
20.36.218.63,settings-win.data.microsoft.com
31.13.65.36,www.facebook.com
20.36.218.63,settings-win.data.microsoft.com
20.36.218.63,settings-win.data.microsoft.com
104.16.122.97,www.webassign.net
104.16.122.97,www.webassign.net
104.244.37.20,dt.adsafeprotected.com
148.153.38.118,api.bilibili.com
52.34.208.16,ekg.riotgames.com
72.21.81.200,r6pcaddons.azureedge.net
31.13.65.7,scontent-atl3-1.xx.fbcdn.net
99.84.36.52,l9bjkkhaycw6f8f4.soundcloud.com
143.204.147.55,static.u.gg
31.13.65.36,www.facebook.com
68.67.179.89,ib.adnxs.com
63.251.114.136,ap.lijit.com
63.251.114.136,ap.lijit.com
13.33.87.55,stats2.u.gg
52.52.238.239,analytics.developer.riotgames.com
34.235.73.79,q.adrta.com
216.152.140.85,node-p2e-bavoh7.sitescout.com
216.152.140.85,node-p2e-bavoh7.sitescout.com
8.43.72.64,beacon-us-iad2.rubiconproject.com
3.13.210.247,includemodal.com
68.67.160.23,nym1-ib.adnxs.com
68.67.160.23,nym1-ib.adnxs.com
204.154.111.145,rtb0.doubleverify.com
50.112.232.136,m.stripe.com
34.232.100.167,cdn.adrta.com
204.154.111.145,tps620.doubleverify.com
204.154.111.145,tps620.doubleverify.com
209.15.36.35,pixel-sync.sitescout.com
69.192.109.37,acdn.adnxs.com
23.5.224.252,tag.researchnow.com
35.153.47.141,cablevision.demdex.net
198.98.22.60,cmp-as-tm.everesttech.net
204.154.111.145,tps30.doubleverify.com
151.101.2.49,statsf-tm.everesttech.net
72.21.81.64,cmp-ase-tm.everesttech.net
72.21.81.64,cmp-ase-tm.everesttech.net
93.184.216.16,ec-ns.sascdn.com
93.184.216.16,ec-ns.sascdn.com
35.211.99.204,gce-sc.bidswitch.net
35.211.99.204,gce-sc.bidswitch.net
199.187.193.171,ssb-us.smartadserver.com
99.84.126.115,secure-gl.imrworldwide.com
107.23.111.253,t.myvisualiq.net
52.202.71.214,beacon.krxd.net
96.17.64.205,code.createjs.com
31.13.71.2,ad.atdmt.com
52.54.193.55,ipv4.adrta.com
74.6.138.192,pr.ybp.yahoo.com
107.23.111.253,t.myvisualiq.net
54.214.5.1,ipv6.adrta.com
34.203.96.228,pixel.adsafeprotected.com
50.16.140.241,verizonwireless.demdex.net
104.244.37.20,dt.adsafeprotected.com
52.203.212.125,rtm.tnt-ea.com
151.101.65.253,t.wayfair.com
104.244.37.20,dt.adsafeprotected.com
52.46.157.171,aax-us-east.amazon-adsystem.com
104.244.37.20,dt.adsafeprotected.com
104.244.37.20,dt.adsafeprotected.com
104.244.37.20,dt.adsafeprotected.com
52.34.208.16,ekg.riotgames.com
204.154.111.145,tps10262.doubleverify.com
35.186.224.47,dealer.spotify.com
52.114.128.9,v10.events.data.microsoft.com
40.91.72.120,presence-heartbeat.xboxlive.com
