17.253.15.206,cdn.smoot.apple.com
151.101.64.134,disqus.com
104.16.77.166,c.disquscdn.com
23.10.89.229,stags.bluekai.com
151.101.1.181,widget.perfectmarket.com
23.38.167.64,abcnewsplayer-a.akamaihd.net
23.38.167.64,abcnewsplayer-a.akamaihd.net
23.38.167.64,abcnewsplayer-a.akamaihd.net
23.38.167.64,abcnewsplayer-a.akamaihd.net
23.38.167.64,abcnewsplayer-a.akamaihd.net
23.38.167.64,abcnewsplayer-a.akamaihd.net
23.51.191.245,time.akamai.com
23.40.29.138,a.teads.tv
23.22.57.176,pixel.adsafeprotected.com
52.5.191.34,fw.adsafeprotected.com
13.226.39.103,choices.truste.com
13.225.212.31,d.agkn.com
209.15.224.17,use-tor.adsrvr.org
172.217.11.36,www.google.com
172.217.10.66,pagead2.googlesyndication.com
23.40.30.103,cdn.doubleverify.com
23.40.30.103,cdn.doubleverify.com
23.40.30.103,cdn.doubleverify.com
34.233.64.71,logx.optimizely.com
205.185.216.42,servedby.flashtalking.com
204.154.111.104,rtb0.doubleverify.com
205.185.216.10,cdn.flashtalking.com
23.51.191.128,cmp.teads.mgr.consensu.org
204.154.111.104,tps620.doubleverify.com
204.154.111.104,rtb2.doubleverify.com
52.1.69.95,aoa.demdex.net
204.154.111.104,tps616.doubleverify.com
23.92.190.68,ap.lijit.com
74.121.138.91,sync.mathtag.com
69.166.1.10,sync.go.sonobi.com
18.214.203.220,magnetic.t.domdex.com
31.13.66.35,www.facebook.com
192.184.68.245,cms.quantserve.com
204.154.111.104,tps.doubleverify.com
172.217.12.166,s0.2mdn.net
51.161.117.180,c.us1.dyntrk.com
74.6.138.75,pr-bh.ybp.yahoo.com
209.15.36.35,pixel-sync.sitescout.com
52.20.141.162,pm.w55c.net
104.193.83.156,google2waycm.netmng.com
208.185.50.90,pixel.rubiconproject.com
23.40.28.29,cs.media.net
35.211.99.204,x.bidswitch.net
23.194.131.219,resources.tidal.com
23.48.21.176,sync.teads.tv
204.154.111.104,tps10266.doubleverify.com
172.217.197.157,bid.g.doubleclick.net
204.154.111.104,tps10267.doubleverify.com
74.201.215.185,ads.revjet.com
141.226.224.32,cds.taboola.com
23.55.235.72,upos-hz-mirrorakam.akamaized.net
23.55.235.72,upos-hz-mirrorakam.akamaized.net
23.55.235.72,upos-hz-mirrorakam.akamaized.net
172.217.10.234,imasdk.googleapis.com
23.55.235.72,upos-hz-mirrorakam.akamaized.net
205.185.216.10,cdn.flashtalking.com
205.185.216.10,cdn.flashtalking.com
173.194.185.138,r5---sn-ab5sznld.c.2mdn.net
23.111.9.57,twemoji.maxcdn.com
104.244.39.20,dt.adsafeprotected.com
13.226.39.74,vast.adsafeprotected.com
100.24.88.255,t.myvisualiq.net
52.5.191.233,secure-gg.imrworldwide.com
107.178.246.49,tapestry.tapad.com
13.225.62.113,choices.trustarc.com
23.22.57.176,pixel.adsafeprotected.com
23.40.20.83,s8t.teads.tv
134.209.129.254,e.serverbid.com
69.166.1.15,apex.go.sonobi.com
52.6.131.45,abcnews.hb.omtrdc.net
34.195.12.46,vastlog.adsafeprotected.com
34.195.12.46,vastlog.adsafeprotected.com
13.226.39.58,static.adsafeprotected.com
34.193.169.238,river.data.ea.com
205.185.216.10,cdn.flashtalking.com
104.244.39.20,dt.adsafeprotected.com
52.73.68.112,www.ecosia.org
31.13.66.35,www.facebook.com
23.194.121.59,secure.insightexpressai.com
13.107.3.128,config.edge.skype.com
23.38.167.33,steamcdn-a.akamaihd.net
23.38.167.33,steamcdn-a.akamaihd.net
23.38.167.33,steamcdn-a.akamaihd.net
204.79.197.200,www.bing.com
13.107.5.80,www.bingapis.com
204.154.111.104,tps10267.doubleverify.com
18.194.56.152,sp.ecosia.org
13.225.212.19,cdn.ecosia.org
172.217.11.46,clients1.google.com
18.194.56.152,sp.ecosia.org
104.244.39.20,dt.adsafeprotected.com
172.217.222.108,imap.gmail.com
