104.16.3.92,na.ledge.leagueoflegends.com
3.221.116.27,public-ubiservices.ubi.com
40.122.160.14,v10.events.data.microsoft.com
52.22.48.111,slckg-4znyf.ads.tremorhub.com
20.36.218.63,settings-win.data.microsoft.com
35.160.15.72,ekg.riotgames.com
52.46.135.48,firehose.us-east-1.amazonaws.com
52.113.194.132,config.teams.microsoft.com
107.21.152.244,ss-prod-ue1-notif-43.aws.adobess.com
172.217.12.202,wirelessdevicestats.googleapis.com
172.217.12.202,wirelessdevicestats.googleapis.com
182.92.244.228,dsp.lenovo.com.cn
54.89.202.63,slckg-nugvu.ads.tremorhub.com
104.84.148.238,sb.scorecardresearch.com
52.223.227.32,video-edge-ee80c0.jfk04.abs.hls.ttvnw.net
35.169.45.33,www.netflix.com
52.179.129.229,arc.msn.com
40.122.160.14,v20.events.data.microsoft.com
54.210.196.127,kessel-ws.parsecgaming.com
13.225.218.225,d3cv4a9a9wh0bt.cloudfront.net
13.225.218.225,d3cv4a9a9wh0bt.cloudfront.net
52.168.20.22,client.teamviewer.com
192.81.242.131,34acf0414d836d3f8d491c6186153694.my.2k.com
31.13.65.1,www.messenger.com
52.114.128.43,browser.pipe.aria.microsoft.com
172.217.10.234,safebrowsing.googleapis.com
172.217.12.131,beacons.gcp.gvt2.com
172.217.12.131,beacons.gcp.gvt2.com
162.159.133.232,images-ext-1.discordapp.net
38.106.231.204,osfsr.lenovomm.com
173.194.66.108,imap.gmail.com
172.217.197.108,imap.gmail.com
172.217.197.108,imap.gmail.com
172.217.197.108,imap.gmail.com
17.248.135.41,gateway-carry.icloud.com
52.22.48.111,slckg-4znyf.ads.tremorhub.com
104.28.0.219,www.mamarutv.site
96.7.65.33,wcs.naver.net
52.218.234.112,s3-us-west-2.amazonaws.com
52.218.234.112,s3-us-west-2.amazonaws.com
52.38.25.206,m.stripe.com
34.196.85.243,category.blocksite.co
104.245.182.23,sub.robotevents.com
165.254.0.201,resources.tidal.com
165.254.0.162,resources.tidal.com
165.254.0.162,resources.tidal.com
96.46.15.101,api-new.gocashback.com
96.46.15.101,d3cv4a9a9wh0bt.cloudfront.net
34.199.131.230,push.prod.netflix.com
69.192.108.239,api1.origin.com
