70.37.74.6,checkappexec.microsoft.com
23.203.125.223,store.steampowered.com
52.179.129.229,arc.msn.com
165.254.0.112,steamstore-a.akamaihd.net
165.254.49.142,steamcdn-a.akamaihd.net
172.217.12.142,www.google-analytics.com
165.254.0.112,steamstore-a.akamaihd.net
40.119.2.214,settings-win.data.microsoft.com
192.81.242.131,34acf0414d836d3f8d491c6186153694.my.2k.com
24.105.29.76,telemetry-in.battle.net
13.68.93.109,sls.update.microsoft.com
40.90.22.190,login.live.com
52.55.206.59,www.netflix.com
23.78.209.78,www.origin.com
40.90.22.190,login.live.com
20.36.218.63,settings-win.data.microsoft.com
20.36.218.63,settings-win.data.microsoft.com
20.36.218.63,settings-win.data.microsoft.com
13.107.3.128,config.edge.skype.com
20.36.218.63,settings-win.data.microsoft.com
20.36.218.63,settings-win.data.microsoft.com
20.36.218.63,settings-win.data.microsoft.com
38.134.110.163,ads.stickyadstv.com
20.36.218.63,settings-win.data.microsoft.com
20.36.218.63,settings-win.data.microsoft.com
23.192.54.165,go.microsoft.com
20.36.218.63,settings-win.data.microsoft.com
20.36.218.63,settings-win.data.microsoft.com
20.36.218.63,settings-win.data.microsoft.com
20.36.218.63,settings-win.data.microsoft.com
52.114.77.33,v10.events.data.microsoft.com
13.107.3.128,config.edge.skype.com
165.254.49.142,steamcdn-a.akamaihd.net
52.109.6.5,officeclient.microsoft.com
52.109.120.17,nexusrules.officeapps.live.com
52.109.2.11,ols.officeapps.live.com
52.114.77.33,v10.events.data.microsoft.com
20.185.109.208,fe2.update.microsoft.com
64.4.54.18,fe3.delivery.mp.microsoft.com
40.70.184.83,ieonlinews.microsoft.com
46.4.194.70,apituner.ecbsn.com
152.195.54.20,services.gfe.nvidia.com
152.195.54.20,services.gfe.nvidia.com
18.208.62.117,datarouter.ol.epicgames.com
52.114.77.33,v10.events.data.microsoft.com
204.79.197.200,platform.bing.com
204.79.197.200,platform.bing.com
23.203.125.223,store.steampowered.com
148.153.38.118,api.vc.bilibili.com
64.4.54.18,fe3.delivery.mp.microsoft.com
3.217.148.127,slckg-4znyf.ads.tremorhub.com
69.192.108.133,livetileedge.dsx.mp.microsoft.com
96.6.24.89,xp.apple.com
165.254.0.80,play.itunes.apple.com
17.248.135.46,p32-caldav.icloud.com
69.192.110.86,api.wunderground.com
172.217.222.109,imap.gmail.com
17.248.135.200,p27-calendars.icloud.com
165.254.0.112,steamstore-a.akamaihd.net
165.254.0.112,steamstore-a.akamaihd.net
172.217.222.109,imap.gmail.com
165.254.0.112,steamstore-a.akamaihd.net
165.254.0.112,steamstore-a.akamaihd.net
165.254.0.112,steamstore-a.akamaihd.net
165.254.0.112,steamstore-a.akamaihd.net
165.254.0.74,steamcommunity-a.akamaihd.net
165.254.0.74,steamcommunity-a.akamaihd.net
165.254.0.74,steamcommunity-a.akamaihd.net
165.254.0.74,steamcommunity-a.akamaihd.net
165.254.0.74,steamcommunity-a.akamaihd.net
172.217.12.142,www.google-analytics.com
23.192.41.82,p.typekit.net
165.254.0.112,steamstore-a.akamaihd.net
165.254.49.142,steamcdn-a.akamaihd.net
23.54.184.102,www.papajohns.com
23.54.184.102,www.papajohns.com
151.101.0.84,ct.pinterest.com
52.114.77.33,v10.events.data.microsoft.com
13.225.230.48,cdn.userreplay.net
13.225.230.40,c.tvpixel.com
13.225.230.120,sc-static.net
184.50.220.126,www.robotevents.com
104.110.252.252,s.pinimg.com
13.57.21.108,adservices.brandcdn.com
34.209.100.148,prod01.kaxsdc.com
34.209.100.148,prod01.kaxsdc.com
52.177.83.224,tsfe.trafficshaping.dsp.mp.microsoft.com
23.192.17.136,geover.prod.do.dsp.mp.microsoft.com
23.192.17.136,cp501.prod.do.dsp.mp.microsoft.com
23.111.135.31,papajohns-chat.digitalroots.com
3.86.151.242,us1-00000031.userreplay.net
68.67.160.76,secure.adnxs.com
18.208.78.141,insight.adsrvr.org
68.67.160.25,ib.adnxs.com
52.4.84.85,pixel.mediaiqdigital.com
54.236.70.171,match.adsrvr.org
35.171.11.81,f-log-extension.grammarly.io
52.72.61.201,p.tvpixel.com
52.72.61.201,p.tvpixel.com
