20.36.218.63,settings-win.data.microsoft.com
52.114.128.44,v10.events.data.microsoft.com
23.20.28.69,ss-prod-ue1-notif-32.aws.adobess.com
113.96.208.21,p.qlogo.cn
20.36.219.28,activity.windows.com
20.36.219.28,activity.windows.com
104.17.209.9,api.golinkapi.com
172.217.9.229,mail.google.com
107.155.58.98,s1.url.cn
13.225.141.195,d3cv4a9a9wh0bt.cloudfront.net
107.155.58.98,s1.url.cn
52.35.252.98,ekg.riotgames.com
107.155.58.98,s1.url.cn
107.155.58.98,s1.url.cn
35.186.224.47,dealer.spotify.com
52.35.252.98,ekg.riotgames.com
203.205.219.229,client.show.qq.com
52.25.95.45,ekg.riotgames.com
13.107.5.91,www.xboxab.com
13.107.136.9,nyu0-my.sharepoint.com
13.107.136.9,nyu0-my.sharepoint.com
172.217.10.46,www.youtube.com
31.13.66.35,www.facebook.com
13.225.70.230,www.flickr.com
13.107.136.9,nyu0-my.sharepoint.com
13.107.136.9,nyu0-my.sharepoint.com
206.189.254.17,e.serverbid.com
69.166.1.15,apex.go.sonobi.com
13.107.136.9,nyu0-my.sharepoint.com
68.67.160.76,nym1-ib.adnxs.com
68.67.160.76,nym1-ib.adnxs.com
185.167.164.39,c1.adform.net
172.217.12.130,securepubads.g.doubleclick.net
68.67.179.91,ib.adnxs.com
172.217.9.226,pagead2.googlesyndication.com
13.107.136.9,nyu0-my.sharepoint.com
172.217.9.228,www.google.com
31.13.66.63,graph.instagram.com
172.217.12.166,s0.2mdn.net
148.153.38.118,api.vc.bilibili.com
31.13.66.63,scontent.cdninstagram.com
172.217.12.166,s0.2mdn.net
172.217.10.66,googleads4.g.doubleclick.net
13.225.212.74,choices.truste.com
34.96.105.8,tr.blismedia.com
159.127.42.172,dclk-match.dotomi.com
52.179.129.229,arc.msn.com
51.178.20.140,c.eu1.dyntrk.com
52.201.166.40,magnetic.t.domdex.com
185.167.164.37,c1.adform.net
35.207.24.140,rtb.mfadsrvr.com
31.13.66.63,scontent-iad3-1.cdninstagram.com
31.13.66.174,www.instagram.com
172.217.12.166,s0.2mdn.net
13.107.136.9,nyu0-my.sharepoint.com
52.114.75.78,v10.events.data.microsoft.com
172.217.9.226,pagead2.googlesyndication.com
172.217.10.66,cm.g.doubleclick.net
58.216.16.35,s1.hdslb.com
172.217.197.189,0.client-channel.google.com
13.225.65.153,slack.com
172.217.12.166,s0.2mdn.net
13.226.39.103,choices.trustarc.com
172.217.3.106,firebasestorage.googleapis.com
119.3.65.116,message.bilibili.com
119.3.33.86,api.live.bilibili.com
13.226.27.64,l9bjkkhaycw6f8f4.soundcloud.com
52.89.119.182,ekg.riotgames.com
45.57.90.1,assets.nflxext.com
45.57.91.1,codex.nflxext.com
31.13.71.3,edge-mqtt.facebook.com
31.13.66.63,i.instagram.com
31.13.66.63,i.instagram.com
31.13.66.63,i.instagram.com
31.13.66.63,i.instagram.com
31.13.66.63,i.instagram.com
31.13.66.63,i.instagram.com
31.13.66.4,graph.facebook.com
147.75.96.23,vc.hotjar.io
148.153.38.118,api.bilibili.com
164.52.34.38,data.bilibili.com
31.13.66.63,graph.instagram.com
