172.217.6.202,instantmessaging-pa.googleapis.com
13.107.136.9,nyu0-my.sharepoint.com
148.153.38.118,message.bilibili.com
148.153.64.18,api.vc.bilibili.com
52.109.6.6,roaming.officeapps.live.com
68.67.160.137,ib.adnxs.com
40.79.66.209,array506.prod.do.dsp.mp.microsoft.com
192.99.103.81,bigcdnjs2.funnyjunk.com
68.67.179.166,nym1-ib.adnxs.com
192.184.68.142,exch.quantserve.com
192.184.68.146,pixel.quantcount.com
52.72.8.164,autodesk.demdex.net
192.184.68.139,pixel.quantserve.com
13.107.136.9,nyu0-my.sharepoint.com
170.33.8.154,gs.arknights.global
13.107.136.9,nyu0-my.sharepoint.com
13.107.136.9,nyu0-my.sharepoint.com
198.27.121.189,bigcdnjs4.funnyjunk.com
13.107.42.12,d.docs.live.net
13.107.136.9,nyu0-my.sharepoint.com
172.217.9.229,mail.google.com
52.109.6.6,roaming.officeapps.live.com
13.107.136.9,nyu0-my.sharepoint.com
52.109.6.6,roaming.officeapps.live.com
13.107.136.9,nyu0-my.sharepoint.com
23.246.7.192,occ-0-1001-2430.1.nflxso.net
52.16.94.177,www.netflix.com
52.16.94.177,www.netflix.com
52.16.94.177,www.netflix.com
52.179.129.229,arc.msn.com
172.217.10.42,remotedesktop-pa.googleapis.com
172.217.10.42,remotedesktop-pa.googleapis.com
151.139.128.10,hb.vntsm.com
52.9.24.249,analytics.developer.riotgames.com
5.62.44.224,analytics.ff.avast.com
13.107.136.9,nyu0-my.sharepoint.com
13.107.136.9,nyu0-my.sharepoint.com
162.159.133.233,discordapp.com
52.7.203.203,pr-5c2f1a37a251ff2a6a8c6eab.data.ea.com
45.57.90.1,codex.nflxext.com
13.107.136.9,nyu0-my.sharepoint.com
23.246.7.193,ipv4-c365-nyc001-ix.1.oca.nflxvideo.net
23.246.7.207,ipv4-c379-nyc001-ix.1.oca.nflxvideo.net
23.246.7.207,ipv4-c379-nyc001-ix.1.oca.nflxvideo.net
23.38.167.80,steamcdn-a.akamaihd.net
23.38.167.80,steamcdn-a.akamaihd.net
23.38.167.80,steamcdn-a.akamaihd.net
13.107.136.9,nyu0-my.sharepoint.com
13.225.63.55,d3cv4a9a9wh0bt.cloudfront.net
172.217.10.5,mail.google.com
104.16.31.91,na.ledge.leagueoflegends.com
52.34.167.111,R5-ps4-sub.stryder.respawn.com
13.225.62.51,js.prd.fusionapi.autodesk.com
13.107.136.9,nyu0-my.sharepoint.com
40.69.216.73,array611.prod.do.dsp.mp.microsoft.com
198.27.121.189,bigcdnjs4.funnyjunk.com
13.107.136.9,nyu0-my.sharepoint.com
192.99.103.81,bigcdnjs2.funnyjunk.com
23.246.7.207,ipv4-c379-nyc001-ix.1.oca.nflxvideo.net
144.217.180.139,bigcdnjs1.funnyjunk.com
13.107.42.12,d.docs.live.net
13.225.62.59,f360sc-p-ue1.api.cosv2-p-ue1-dn.autodesk.com
52.159.17.76,tsfe.trafficshaping.dsp.mp.microsoft.com
52.41.38.113,ekg.riotgames.com
52.114.158.91,v10.events.data.microsoft.com
52.41.38.113,ekg.riotgames.com
198.27.121.189,bigcdnjs4.funnyjunk.com
204.79.197.200,www.bing.com
172.217.10.74,www.googleapis.com
172.217.10.74,www.googleapis.com
172.217.10.74,www.googleapis.com
172.217.10.74,www.googleapis.com
172.217.10.74,www.googleapis.com
172.217.10.74,www.googleapis.com
23.194.122.92,livetileedge.dsx.mp.microsoft.com
172.217.197.108,imap.gmail.com
172.217.197.108,imap.gmail.com
172.217.197.108,imap.gmail.com
172.217.197.108,imap.gmail.com
172.217.197.108,imap.gmail.com
172.217.197.108,imap.gmail.com
13.107.136.9,nyu0-my.sharepoint.com
