77.88.55.60,yandex.ru
31.13.65.7,static.xx.fbcdn.net
52.89.119.182,ekg.riotgames.com
13.226.36.189,d3cv4a9a9wh0bt.cloudfront.net
172.217.9.229,mail.google.com
20.36.219.28,activity.windows.com
31.13.65.36,www.facebook.com
23.221.75.169,steamcdn-a.akamaihd.net
23.60.68.80,steamstore-a.akamaihd.net
23.221.75.169,steamcdn-a.akamaihd.net
23.221.75.169,steamcdn-a.akamaihd.net
31.13.65.7,scontent-atl3-1.xx.fbcdn.net
13.88.23.8,smartscreen-prod.microsoft.com
52.89.119.182,ekg.riotgames.com
13.107.3.128,config.edge.skype.com
104.126.112.11,settings-ssl.xboxlive.com
13.78.180.50,array806.prod.do.dsp.mp.microsoft.com
148.153.38.118,api.bilibili.com
172.217.197.189,15.client-channel.google.com
20.36.218.63,settings-win.data.microsoft.com
46.137.116.33,a.wunderlist.com
46.137.116.33,a.wunderlist.com
104.107.176.162,go.microsoft.com
46.137.116.33,a.wunderlist.com
46.137.116.33,a.wunderlist.com
46.137.116.33,a.wunderlist.com
40.77.224.8,windows.policies.live.net
47.246.24.230,i0.hdslb.com
148.153.56.162,account.bilibili.com
148.153.56.162,passport.bilibili.com
13.226.39.121,static.geetest.com
148.153.56.162,passport.bilibili.com
164.52.34.38,data.bilibili.com
164.52.34.38,data.bilibili.com
173.194.61.7,r1---sn-ab5szn7r.googlevideo.com
162.125.19.130,telemetry.dropbox.com
148.153.56.162,passport.bilibili.com
34.194.234.129,rtm.tnt-ea.com
54.188.210.185,api.geetest.com
54.188.210.185,api.geetest.com
13.226.39.121,static.geetest.com
52.203.212.125,rtm.tnt-ea.com
172.217.10.10,remotedesktop-pa.googleapis.com
172.217.10.10,remotedesktop-pa.googleapis.com
3.228.126.225,www.cengage.com
3.228.126.225,www.cengage.com
24.105.29.76,telemetry-in.battle.net
52.89.119.182,ekg.riotgames.com
3.225.47.246,secure-dcr.imrworldwide.com
13.225.54.64,api-cache.blizzcon.com
