34.198.166.64,prd-collector-anon.playbuzz.com
172.217.10.46,play.google.com
23.221.201.164,mps.cnbc.com
172.217.12.166,s0.2mdn.net
3.214.228.175,mb.moatads.com
172.217.12.162,googleads4.g.doubleclick.net
96.17.66.14,nbcudisplay.s.moatpixel.com
18.232.223.28,m.dlx.addthis.com
96.17.66.14,nbcudisplay.s.moatpixel.com
96.17.66.14,nbcudisplay.s.moatpixel.com
96.17.66.14,nbcudisplay.s.moatpixel.com
18.232.223.28,m.dlx.addthis.com
18.232.223.28,m.dlx.addthis.com
18.232.223.28,m.dlx.addthis.com
104.126.112.195,code.createjs.com
204.154.111.105,tps30.doubleverify.com
204.154.111.111,tps10249.doubleverify.com
104.18.33.108,platform.iteratehq.com
184.25.147.149,use.typekit.net
104.18.32.108,iteratehq.com
128.116.112.44,users.roblox.com
172.253.63.108,imap.gmail.com
172.253.63.108,imap.gmail.com
172.253.63.108,imap.gmail.com
209.85.232.109,imap.gmail.com
151.101.2.2,trc.taboola.com
141.226.224.32,cds.taboola.com
107.22.59.176,pixel.adsafeprotected.com
54.164.101.89,wellsfargobankna.demdex.net
13.225.230.53,static.adsafeprotected.com
31.13.65.36,www.facebook.com
141.226.224.32,cds.taboola.com
151.101.2.49,15.taboola.com
151.101.66.49,imprchmp.taboola.com
151.101.130.49,convchmp.taboola.com
151.101.194.49,match.taboola.com
151.101.66.2,vidutils.taboola.com
74.121.138.26,sync.mathtag.com
100.25.83.136,match.adsrvr.org
18.205.118.46,pixel.advertising.com
151.101.66.2,images.taboola.com
17.248.187.76,metrics.icloud.com
96.6.24.89,xp.apple.com
23.60.68.104,play.itunes.apple.com
17.249.121.246,api-glb-nyc.smoot.apple.com
52.4.237.129,srv-2020-03-02-14.pixel.parsely.com
173.194.207.108,imap.gmail.com
173.194.207.108,imap.gmail.com
216.165.46.10,newclasses.nyu.edu
216.165.47.16,shibboleth.nyu.edu
216.165.47.16,shibboleth.nyu.edu
172.217.10.68,www.google.com
216.165.47.12,www.nyu.edu
172.217.10.68,www.google.com
172.217.12.193,lh3.googleusercontent.com
35.171.61.161,srv-2020-03-02-15.pixel.parsely.com
172.217.12.206,apis.google.com
17.188.142.37,init.push.apple.com
128.116.112.44,users.roblox.com
52.179.129.229,arc.msn.com
69.192.108.239,api1.origin.com
173.194.31.71,r1---sn-ab5szn7z.googlevideo.com
69.192.108.239,api1.origin.com
216.165.47.16,shibboleth.nyu.edu
216.165.47.12,www.nyu.edu
216.165.47.12,www.nyu.edu
54.241.191.153,api-e4c9863e.duosecurity.com
23.20.28.69,ss-prod-ue1-notif-32.aws.adobess.com
173.194.207.108,imap.gmail.com
173.194.207.108,imap.gmail.com
172.217.9.238,ogs.google.com
172.217.3.99,www.gstatic.com
96.6.24.89,xp.apple.com
172.217.10.46,play.google.com
172.217.10.46,play.google.com
34.230.114.151,rtm.tnt-ea.com
172.217.12.138,remotedesktop-pa.googleapis.com
172.217.12.138,remotedesktop-pa.googleapis.com
172.217.12.142,www.youtube.com
172.217.10.238,play.google.com
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
17.253.15.203,pancake.apple.com
128.116.112.44,users.roblox.com
31.13.65.36,www.facebook.com
52.114.36.3,v10.events.data.microsoft.com
52.4.237.129,srv-2020-03-02-14.pixel.parsely.com
13.225.218.21,d3cv4a9a9wh0bt.cloudfront.net
172.217.12.202,play.googleapis.com
204.154.111.111,tps10249.doubleverify.com
13.107.3.128,config.edge.skype.com
13.107.3.128,config.edge.skype.com
13.107.3.128,config.edge.skype.com
13.107.3.128,config.edge.skype.com
13.107.3.128,config.edge.skype.com
52.109.4.5,mrodevicemgr.officeapps.live.com
216.165.46.10,newclasses.nyu.edu
104.27.128.86,api.gifyourgame.com
52.179.129.229,arc.msn.com
173.194.68.189,6.client-channel.google.com
52.178.192.146,array601.prod.do.dsp.mp.microsoft.com
20.36.218.63,settings-win.data.microsoft.com
128.116.112.44,users.roblox.com
165.254.0.99,ubistatic3-a.akamaihd.net
216.165.46.10,newclasses.nyu.edu
3.213.160.221,sirius.mwbsys.com
173.194.31.71,r1---sn-ab5szn7z.googlevideo.com
54.71.49.71,ece4.playfabapi.com
172.217.6.202,oauthaccountmanager.googleapis.com
172.217.3.106,youtubei.googleapis.com
172.217.3.110,app-measurement.com
216.239.36.126,app.snapchat.com
172.217.9.234,www.googleapis.com
13.225.230.50,cf-st.sc-cdn.net
172.217.3.110,app-measurement.com
35.190.43.134,us-central1-gcp.api.snapchat.com
128.116.112.44,users.roblox.com
34.216.80.74,pipes-prod-glutton.public.aws.demonware.net
172.217.3.106,safebrowsing.googleapis.com
23.20.28.69,ss-prod-ue1-notif-32.aws.adobess.com
31.13.65.7,scontent-atl3-1.xx.fbcdn.net
31.13.65.36,www.facebook.com
31.13.65.52,i.instagram.com
31.13.65.52,i.instagram.com
31.13.65.52,i.instagram.com
31.13.65.52,i.instagram.com
31.13.65.52,i.instagram.com
31.13.65.52,graph.instagram.com
31.13.65.3,edge-mqtt.facebook.com
31.13.65.1,graph.facebook.com
31.13.65.52,scontent-atl3-1.cdninstagram.com
31.13.65.52,scontent-atl3-1.cdninstagram.com
177.38.178.161,instagram.fgnm2-1.fna.fbcdn.net
177.38.178.161,instagram.fgnm2-1.fna.fbcdn.net
31.13.65.52,scontent-atl3-1.cdninstagram.com
31.13.65.52,scontent-atl3-1.cdninstagram.com
209.85.232.108,imap.gmail.com
96.17.66.14,nbcudisplay.s.moatpixel.com
18.232.223.28,m.dlx.addthis.com
96.6.24.64,us-prof.np.community.playstation.net
204.154.111.111,tps10249.doubleverify.com
84.21.52.96,login.porsche.com
84.21.52.96,login.porsche.com
54.86.210.177,nummus.robinhood.com
52.179.129.229,arc.msn.com
17.142.169.200,gsp64-ssl.ls.apple.com
104.70.59.193,configuration.apple.com
34.199.237.190,crumbs.robinhood.com
34.225.167.174,robinhood.com
34.230.156.246,crumbs.robinhood.com
192.229.163.25,platform.twitter.com
192.229.163.25,platform.twitter.com
54.157.79.136,api.userleap.com
34.238.223.140,report-uri.robinhood.com
34.238.223.140,report-uri.robinhood.com
34.238.223.140,report-uri.robinhood.com
34.238.223.140,report-uri.robinhood.com
34.238.223.140,report-uri.robinhood.com
34.238.223.140,report-uri.robinhood.com
104.244.42.8,syndication.twitter.com
3.229.27.81,analytics.robinhood.com
52.7.14.119,dora.robinhood.com
34.238.29.136,phoenix.robinhood.com
34.196.47.140,srv-2020-03-02-15.pixel.parsely.com
128.116.112.44,users.roblox.com
96.6.24.64,us-prof.np.community.playstation.net
96.6.24.64,us-ivt.np.community.playstation.net
17.248.187.73,gateway-carry.icloud.com
17.248.135.43,gateway.icloud.com
17.248.187.73,gateway.icloud.com
172.217.12.193,apidata.googleusercontent.com
35.188.42.15,sentry.io
35.188.42.15,sentry.io
180.169.106.30,casper.saschina.org
31.13.65.7,scontent.xx.fbcdn.net
104.88.20.223,gs-sec.ww.np.dl.playstation.net
96.6.24.64,us-ivt.np.community.playstation.net
96.6.24.89,xp.apple.com
173.223.8.90,upp.itunes.apple.com
23.60.68.104,play.itunes.apple.com
173.194.207.108,imap.gmail.com
173.194.207.108,imap.gmail.com
128.116.112.44,users.roblox.com
104.27.128.86,api.gifyourgame.com
23.20.28.69,ss-prod-ue1-notif-32.aws.adobess.com
165.254.0.83,weather-data.apple.com
165.254.0.83,weather-data.apple.com
52.179.129.229,arc.msn.com
13.225.218.115,d3cv4a9a9wh0bt.cloudfront.net
13.225.218.115,d3cv4a9a9wh0bt.cloudfront.net
104.27.128.86,api.gifyourgame.com
128.116.112.44,users.roblox.com
216.165.46.10,newclasses.nyu.edu
